pub,usr,likes,com,fec,hor,sent,tag
20200805,Pagi Granados,0,diga me por favor como desbloquear mi tarjeta estou em brasil y no e podido comunicarme com ustedes que moléstia,2020-08-11,20:03:00,o,consulta
20200805,Pablo Cruz Lizárraga,0,"citibanamex entienda no tienen el servicio de reprogramación de tarjetas por teléfono por la contingencia, la busque desde donde esta mi tarjeta elegí la sucursal y se quedó procesando más de una hora, lo intente desde bancanet y ni si quera me deja elegir sucursal y originalmente la pedí para entrega en mi domicilio cosa que nunca sucedió las peticiones a sucursal las he estado intentando desde el mes anterior sin éxito alguno y ya vi que por este medio eso no va a cambiar, la contingencia es para todos no sólo para banamex ustedes creen que yo estoy en condición de perder todo un día para ir a atención al cliente a recoger mi tarjeta nomás porque no fueron capaces de entregarla en mi domicilio tal como lo prometieron, eso sin contar que cerraron muchas sucursales para evitar contagios pero ahora los de muchas sucursales acudimos a la misma con más riesgo de contagio, si no me la van a poder entregar le pregunto de nuevo que documentos ocupó para cancelar mus cuentas con ustedes?",2020-08-11,20:07:00,n,entrega_tc
20200805,Pablo Cruz Lizárraga,0,citibanamex y por favor no ofrezcan una disculpa ya me han ofrecido muchas desde el mes de junio y aún no me atienden,2020-08-11,20:08:00,n,rec_reiterado
20200805,Arcelia Ambriz Acosta,0,citibanamex,2020-08-12,10:30:00,o,replica
20200805,Alejandro Hernández de León,0,"citibanamex claro que sí, solo que antes me contesten o que cuando contesten no bajen el volumen al mínimo para no escuchar nada y sobre todo me regresen el dinero de los cargos no reconocidos que tengo reportando desde el jueves, que rápido contestaron por aquí pero en el messenger ni sus luces",2020-08-17,11:04:00,n,atencion_call
20200805,Alejandro Hernández de León,0,"citibanamex cuál folio? no me dieron nada, solo me transfieren la llamada con una persona especializada que para cuando contesta no se le escucha nada y me cuelgan y que deben pasar hasta 9 días hábiles para que el naco ratero de tlalnepantla disfrute del dinero que de alguna forma rara y misteriosa tuvo acceso a mi cuenta",2020-08-17,11:22:00,n,seguridad
20200805,Alejandro Hernández de León,0,citibanamex me llegó el aviso de mensaje de texto: thomas j elementarys tlalnepantla y televia recarga mexico df,2020-08-17,11:36:00,o,replica
20200805,Alejandro Hernández de León,0,no quiero sus mugrosos saludos quiero mi dinero de regreso,2020-08-17,13:44:00,n,rec_reiterado
20200805,Alejandro Hernández de León,0,"citibanamex ya se los dije, que tenía que esperar hasta 9 días hábiles y por lo pronto ya liberaron los pagos",2020-08-17,14:20:00,p,agradecimiento
20200805,Alejandro Hernández de León,0,"citibanamex ah y no conforme con eso me bloquearon mi tarjeta temporalmente no puedo hacer pagos ni disponer de efectivo en cajero automático, pero buenos para cobrar verdad?",2020-08-17,14:21:00,n,bloqueo_cuenta
20200805,Alejandro Hernández de León,0,citibanamex otra vez??? cuántas veces quieren que llame y les de mis datos???,2020-08-17,14:35:00,n,carrousel
20200805,Pablo Cruz Lizárraga,0,"citibanamex si siguen a sus órdenes, significa que no han podido resolver el problema, no se cansan de ofrecer disculpas y lamentar los inconvenientes?",2020-08-17,23:20:00,n,rec_reiterado
20200805,Alejandro Hernández de León,0,"citibanamex no me explico por qué en sucursal no pueden solucionar las cosas, si son ineptos para que los tienen trabajando, déjense de cosas pónganse a trabajar",2020-08-18,11:34:00,n,rec_reiterado
20200805,Alejandro Hernández de León,0,"citibanamex le contestaré no por gusto sino para que los demás se enteren cuál es su modo de trabajar, cuando uno marca a su ineficiente call center tiene que esperar media hora para que la persona que contesta te pida varios datos, no te soluciona nada y te transfiere la llamada con un especialista para que tengas que esperar otra media hora si bien le va a uno, mientras espero se nota que cada vez va bajando el volumen y para cuando contestan no se escucha nada, todo esto para que uno se enfade y mejor cuelgue y así ya se lavan las manos, te gustaría que suba las llamadas para comprobar lo que digo?",2020-08-18,11:41:00,n,atencion_call
20200805,Zulyme Regnault,0,son un banco de lo peor,2020-08-24,22:27:00,n,critica
20200805,Gonzalez Nol,2,"ya que se acaba los 4 meses del programa estamos contigo, como se hará para posponerlo otros dos meses",2020-08-06,22:20:00,o,consulta
20200805,Elva Martinez,0,"citibanamex a mi no me enviaron informes de cómo posponerlo 2 meses más, simplemente me mandaron msj para decirme que se acababan los 4 meses y que no se me pasara el pago",2020-08-07,11:17:00,o,consulta
20200805,Alma Lourdes Gomez Rivera,0,citibanamex ocupo me envíes link para inscribirme en los dos meses para posponer pago de tarjeta de crédito me están habla y habla por lanpandemia no se puede ahorita asumir esos pagos. mándenme link porfavor,2020-08-11,11:26:00,o,consulta
20200805,Alma Lourdes Gomez Rivera,0,"citibanamex esa liga no abre me urge otorguen ese beneficio que el presidente ordenó se de , imposible pagar tarjeta , ocupo diferir dos mese más. envíen link correcto porfavor",2020-08-11,11:36:00,o,consulta
20200805,Ana Lucia Hidalgo Caraveo,1,"buenas tardes, acudi a la sucursal para cancelar mi tarjeta de nómina, xq no quiero q me genere cargo por comisión, ya q no será usada, y la señorita q me atendió me dijo q no puedo cancelarla q hasta dentro de 6 meses, como es posible q no pueda hacer este trámite, cuando abri la cuenta no me. informaron esto. solo me dijo q no la use y listo. digame, aunq no sea usada obvio generará la comisión mensual y esto se me hace arbitrario x parte del banco",2020-08-06,19:37:00,n,cancelacion
20200805,Viridiana Armengod Murillo,0,"ana lucia hidalgo caraveo a mí me dijeron lo mismo, no se porque motivo tampoco pueden cancelar mi cuenta y la señorita de ventanilla me dijo que no la use y que no pasa nada",2020-08-19,20:22:00,n,cancelacion
20200805,Salma Madrid,10,"horrendo servicio de call center, te contestan con voz de flojera, no resuelven nada y aparte cuelgan y te dejan hablando solo. me he tratado de comunicar mil veces y me pasa lo mismo tengo toda la semana, ni siquiera en messenger responden.",2020-08-06,12:54:00,n,atencion_call
20200805,Frank Yaort,2,h. d. p. m. ,2020-08-05,11:45:00,n,critica
20200805,Verónica Martínez,0,dónde puedo tramitar mi clave netkey si las sucursales están cerradas,2020-08-07,21:03:00,o,consulta
20200805,Verónica Martínez,0,citibanamex gracias,2020-08-07,21:07:00,p,agradecimiento
20200805,Verónica Martínez,0,citibanamex dónde puedo checar las sucursales cercanas ya q la w está en mi zona está cerrada,2020-08-07,21:15:00,o,consulta
20200805,Verónica Martínez,0,citibanamex gracias,2020-08-07,21:38:00,p,agradecimiento
20200805,Lourdes Cabañas,1,y algún tipo de inversión ?,2020-08-05,11:23:00,o,consulta
20200805,Alex Gómez,2,"no inviertas en banamex, solo te robaran tu dinero!",2020-08-05,11:49:00,n,critica
20200805,Edith Eugenia Montejano Guerra,7,"el peor servicio! ahora resulta que tienes que hacer fila de 2 horas para que te den una ficha y esperar otras 2 horas para que se dignen en atenderte, en lugar de facilitar las cosas en línea y por teléfono, hacen todo lo contrario. que la gente se aglomere en la sucursales por que no pueden resolver nada por otras vías... gracias por arriesgar a los clientes, así cuando se mueran nadie les pagará! que inteligentes jaja banco basura. ",2020-08-06,15:04:00,n,carrousel
20200805,Pauli LF,0,edith eugenia montejano guerra basura apestosa,2020-08-13,18:38:00,n,critica
20200805,Fernando Chavez,2,"excelente material, que otros tutoriales como estos hay?",2020-08-05,13:48:00,p,agradecimiento
20200805,Luis Aguilar,0,cti esperamos el servicio que esta en porograma para juan de dios aguilar ontivetos mucjo trabajo apresutensen con mi srrbici,2020-08-26,15:31:00,o,replica
20200805,Luis Valle,0,"no es al instante, tienes que esperar 30 minutos. ",2020-08-07,19:51:00,o,replica
20200805,Luis Valle,0,citibanamex yo no tengo ningun problema. ,2020-08-07,22:52:00,o,replica
20200805,Jesús Martinez,0,citibanamex tienen un pésimo servicio en sus líneas telefónicas nada serio les damos la información que están pidiendo paso a paso y cuelgan mi esposa tuvo problema con un cajero que no le entrego el efectivo y queremos hacer el reporte y ya dos días por qué el día de ayer en sucursal se encontraba mucha gente y no alcanzamos ya turno y en sus líneas telefónicas no tienen profesionalismo ni seriedad por qué cuelgan cuando uno pone los datos que son muy importantes que uno confía en ustedes y nadie puede dar solución a el problema esto es en torreón coahuila,2020-08-08,11:21:00,n,atencion_call
20200805,Samantha Torres,0,"pésimo servicio que tienen, no puedo usar mi dinero de mi cuenta por no tener ine y por teléfono y en linea nada que me ayudan",2020-08-10,11:48:00,n,atencion_call
20200805,Samantha Torres,0,"citibanamex es de débito, no puedo hacer nada porque mi audiomático está bloqueado y o sorpresa necesito el netkey que no tengo",2020-08-10,11:56:00,o,replica
20200805,Samantha Torres,0,"citibanamex el audiomático si lo tengo, pero está bloqueado, necesito usar mi dinero, están viendo como está la situación y no agilizan nada",2020-08-10,12:02:00,n,rec_reiterado
20200805,Samantha Torres,0,citibanamex no me deja,2020-08-10,12:20:00,n,rec_reiterado
20200805,Samantha Torres,0,"citibanamex ya necesito mi dinero, 5 meses con mi dinero en el banco porque no me pueden ayudar, si el ine dio las constancias y no es posible que mejor en bancomer me hagan hasta trámite de tarjeta de crédito con esa, y aquí ustedes no me puedan ayudar con mi tarjeta de débito",2020-08-10,12:22:00,n,rec_reiterado
20200805,Samantha Torres,0,"citibanamex ah y aparte de todo me sigan cobrando la mensualidad de manejo de cuenta, cuando es obvio que no puedo hacer pagos, para cobrar si rápido bajan el. dinero",2020-08-10,12:24:00,n,rec_reiterado
20200805,Samantha Torres,0,"citibanamex sí, mi audiomático si lo tengo",2020-08-10,12:38:00,o,replica
20200805,LR Diaz,0,aque hora reparan los servidores andan mal desde ayer,2020-08-12,21:21:00,n,fallas_sistema
20200805,BBere Sanchez,0,son un asco!!! llevo toda la semana tratando de hablar con uno de sus ejecutivos y nadie me contesta en su adiomatico ni en ninguno de sus teléfonos y siempre me cuelgan poniendo como escusa la contingencia. lo más nefasto es que si vas a sucursal nadie te resuelve nada porque todo tiene que ser por teléfono donde no contestan! es un pésimo servicio. ,2020-08-19,12:54:00,n,atencion_call
20200805,Brenn RS,1,alguien sabe si es cierto que dan las tarjetas de puntos premia?,2020-08-11,13:15:00,o,consulta
20200805,Brenn RS,0,"si, entiendo lo que es, sólo que el sucursal me dicen que la solicité por línea y en línea que lo haga en sucursal. no sé como obtener mi tarjeta!!! ayuda, por favor",2020-08-11,18:40:00,o,replica
20200805,Brenn RS,42,"citibanamex así es, tengo la cantidad de $517. 42",2020-08-11,19:08:00,o,replica
20200805,Brenn RS,0,citibanamex me la pasé toda la mañana queriendo que me ayudarán con el estatus... porque tiene mucho que llegué a los 1000 puntos y no me llegó la tarjeta. en los números que me comparten no me dan solución. no saben el estatus de la tarjeta,2020-08-11,19:12:00,n,entrega_tc
20200805,Mini Carpar,0,una pregunta si compro a meses sin intereses y mi mensualidad es de 1500 y yo le depositó 2000 hay algún problema,2020-08-12,00:21:00,o,consulta
20200805,Arcelia Ambriz Acosta,0,"citibanamex si con mi tarjeta de credito es la hora que no me la dan, mi tarjeta de puntos premia me han traido a la vuelta y vuelta desde principios del año pasado!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! asi nomas la cosa con citibanamex, que cosa!!!!!!!!!!!!!!!!!!!!!!!!",2020-08-12,10:51:00,n,entrega_tc
20200805,Mag Varela Buendia,0,"buen día banamex! le deposite. a mi tarjeta de crédito de más para cancelar unas compras y ahora resulta que no se puede realizar el movimiento, que el dinero se abonará a la tarjeta pero no a las compras que yo requería, se me hace una falta de respetó y que aparte te digan que solo se hace por ventanilla, creo que ahorita lo que menos quiere la gente es salir, que mal servicio",2020-08-18,12:49:00,n,critica
20200805,Mag Varela Buendia,0,"no creo que me vayan a guardar el dinero hasta que ese momento llegué, lo van abonar como ustedes decidan, pero gracias, creo que esos detalles deberían de enviarlos a sus clientes vía correo en lugar de enviar sus propagandas, para así evitar esta situación tan molesta. gracias",2020-08-18,12:57:00,n,mala_atencion
20200805,Mike Chowder,1,"me ofrecieron una tarjeta en una de sus campañas muy insistentes en que fuera por ella pero más de un mes y medio y no me dicen mi limite fecha corte o demás. datos ya que me dijeron que la activará y sigo sin poder usarla no se su estatus y es hora que no me puedo comunicar vía telefonica, dejan mucho que desear",2020-08-10,22:40:00,n,entrega_tc
20200805,Mike Chowder,0,citibanamex en sucursal pueden atender ya que llevo más de dos semanas marcando y nunca atienden,2020-08-10,23:03:00,n,atencion_call
20200805,Pauli LF,1,mike chowder aguas con que te cobren... seguro que aun sin usarla ya te está genand cargos. ve a sucursal a verlo. son gandallitas,2020-08-13,18:35:00,n,critica
20200805,Mike Chowder,0,pauli lf si iré solo que no me ha dado tiempo pero si estoy al pendiente de ello gracias por el dato,2020-08-13,19:29:00,o,replica
20200805,Melisa Cañas,0,"se me hace una estupidez que después de pasar por un asalto dónde obviamente te quitan todo, desde célular, tarjetas , credenciales , te nieguen el poder retirar tu dinero aún así presentes documentación y contrato de tu cuenta de debido , y aún más cuando ustedes tienes las huellas capturadas de los clientes y sin dejar atrás la prepotencia y mal trato de su personal",2020-08-12,15:08:00,n,seguridad
20200805,Maria Jose Arana,0,"profeco condusef cancelé mi tarjeta de crédito clásica con banamex hace aproximadamente 8 meses y hace unas semanas me empezaron a hablar del área de cobranzas de que debía la anualidad y me están cobrando $1,800. me comentan que cancelé la tarjeta pero que no se cancela la cuenta",2020-08-17,12:35:00,n,cobro_indebido
20200805,Maria Jose Arana,0,citibanamex si,2020-08-17,12:58:00,o,replica
20200805,Jangel Cortez,1,me hicieron devolución de spei y no se me refleja en mi cuenta,2020-08-18,20:08:00,o,consulta
20200805,Esther Yumey Diaz,0,pésimo servicio de call center no tienen sistema y me están vaciando mi cuenta ahí que aplica caray,2020-08-26,13:51:00,n,atencion_call
20200805,Juliana Moncada Vélazquez,0,"donde checo lo se un cargo ko reconocido,por teléfono no me contestan es un pésimo servicio todo",2020-08-16,19:11:00,n,atencion_call
20200805,Titel Garcia,1,"buenas tardes señores de citi banamex, he estado marcando a sus teléfonos para servicios al cliente y nunca me contestan, le explico que pago a meses sin intereses un monto de mi tarjeta de crédito no he dejado de pagar, y resulta que viene ek monto a pagar del mes de agosto muy alto nada qur ver con el monto que me dan en la lista cuando dividieron los pagos, me urge una respuesta, dato curioso nunca habia tenido problemas con ustedes pero esto no me agrada para nada",2020-08-11,11:52:00,n,atencion_call
20200805,Titel Garcia,0,"de la tarjeta de crédito no, he estado pagando desde mi banca movil me llegan las notificaciones con un mensaje de texto de los pagos de ésta tarjeta, estoy al corriente",2020-08-11,12:39:00,o,replica
20200805,Titel Garcia,0,un día antes hasta eso,2020-08-11,12:44:00,o,replica
20200805,Titel Garcia,0,he pagado el total para no generar intereses,2020-08-11,12:44:00,o,replica
20200805,Titel Garcia,0,"señor con todo respeto mis movimientos están validados, no es el primer psgo que hago por medio de la banca ni de esa tarjeta y sus preguntas están siendo inciertas debido a que le vuelvo a repetir que si tengo tarjeta de crédito con ustedes es precisamente por que pago puntual, quiero una solución no más cuestionamientos sin razón, necesito soluciones o quien si me puede dar soluciones y no preguntas sin sentido",2020-08-11,12:52:00,n,cobro_indebido
20200805,Titel Garcia,0,"citibanamex al principio hiba usted bien señor, al principio de mi comentario dije que ya he llamado muchisimas veces exactamente como lo explica tal y como lo pide la operadora y nunca me contestan, precisamente por eso los estoy molestando aqui",2020-08-11,13:01:00,n,atencion_call
20200805,Titel Garcia,0,la pregunta es si es un cargo reconocido y nadie me puede apoyar ni aclarar por que tendría yo que pagar eso,2020-08-11,13:02:00,n,cobro_indebido
20200805,Titel Garcia,0,si eso le hacen a los buenos clientes ahora entiendo por que tantos comentarios malos y por que cancela uno con ustedes,2020-08-11,13:03:00,n,critica
20200805,Titel Garcia,0,osea quede igual,2020-08-11,13:41:00,o,replica
20200805,Titel Garcia,0,guardaré éstos comentarios para cuando me presgunten por que cancelare mis tarjetas,2020-08-11,13:41:00,n,critica
20200805,Titel Garcia,0,citibanamex ok,2020-08-11,18:13:00,o,replica
20200805,Pauli LF,1,titel garcia son gandallas,2020-08-13,18:35:00,n,critica
20200805,Pauli LF,1,titel garcia lameno decirte que cancelar está mas difícil que ver al papa... ,2020-08-13,18:36:00,n,critica
20200805,Titel Garcia,0,pauli lf gracias por decirlo,2020-08-15,03:58:00,p,agradecimiento
20200805,Vicka Garciia,0,"citibanamex el día de hoy se supone que me darian resolución a mi queja # 1750140 01q, pero no veo reflejado mi dinero en la cuenta, llamé a los teléfonos que me dieron, pero no me resolvieron nada, mandé correos a queremos escucharte y nada. mal servicio!!!",2020-08-17,22:55:00,n,rec_reiterado
20200805,Vicka Garciia,0,"citibanamex el 01 de agosto hice un retiro del cajero automático # 8522. pero cuando me iba a dar el dinero, el cajero se trabo y no me dio nada, sin embargo en mi cuenta si se hizo el descuento. y cuando acudí a la sucursal (puesto que por teléfono no me resolvieron nada) me dijeron que no fui la unica clienta afectada por ese cajero. levantaron mi queja, me dieron número de folio y quedaron en resolverme el dia de hoy, pero nada. de hecho también me pidieron que redactara lo sucedido al correo queremos escucharte, lo hice, mande captura del ticket, con todos los datos que me pidieron, y nada, no me han resuelto nada. ",2020-08-17,23:30:00,n,falla_atm
20200805,Vicka Garciia,0,me dijeron que por la contingencia no podian ayudarme con mi queja y lo único que yo podia hacer era enviar un correo. eso fue el dia de hoy,2020-08-17,23:59:00,n,carrousel
20200805,Fran Alvarez,0,amiga te resolvieron? ya que a mi me sucedio igual el mismo problema. ,2020-08-27,21:27:00,o,replica
20200805,Fran Alvarez,0,citibanamex me apoyan con mi aclaracion 25701914 quiero una respuesta de mi dinero que no me dio el cajero. es increible el mal servicio,2020-08-28,13:58:00,n,rec_reiterado
20200805,Fran Alvarez,0,vicka garciia amiga te regresaron tu dinero ?,2020-08-28,14:05:00,o,replica
20200805,Vicka Garciia,0,"fran alvarez hola!!! después de 25 días, por fin ayer me lo depositaron. ",2020-08-28,14:19:00,o,replica
20200805,Fran Alvarez,0,vicka garciia dios mio 25 dias!. muchas gracias,2020-08-28,14:23:00,p,agradecimiento
20200805,Fran Alvarez,0,vicka garciia fue mucho el tiempo. que mal servicio en verdad de este banco,2020-08-28,14:24:00,n,critica
20200805,Lilia A. Llamas,0,"quiero cancelar temporalmente (reposición por clonación) una tarjeta inmediatamente me hicieron el cargo y me reporte, pero que no puedo hacer la aclaración porque está en proceso. con la institución que me hizo el cargo (netflix) me comuniqué y de inmediato me resolvieron. se qué hay cargas de trabajo solo quiero saber que tengo que hacer",2020-08-09,08:01:00,o,consulta
20200805,Arcelia Ambriz Acosta,0,citibanamex en donde tienen mi tarjeta de credito inutiles?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? 5 meses y nadie me atiende!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2020-08-13,10:16:00,n,entrega_tc
20200805,Araceli Pasos,0,"se venció un pagaré que me dió el banco de una inversion que hice y no pude acudir a retirar,dos días después acudi a una sucursal y me dicen que se reinvirtio y el para retirarlo es hasta dentro de seis meses pero chequé mi saldo y es menos de lo que hiba a recibir quién me puede explicar el motivo???",2020-08-08,15:51:00,o,consulta
20200805,Araceli Pasos,0,ok gracias por la información!!!,2020-08-08,16:03:00,p,agradecimiento
20200805,Karen Molina,1,"ya pesimp servicio comp siempre!! 2 meses y no me pueden dar la reposicion de mi tarjeta vencida, por telefono dicrn que ya se entrego en domicilio, el la pagina de bancanet ponen que está en bobeda y encima quieren que la reporte y que pague la reposicion!!! si no fuera porque ya pague la anualidad la cancelo!! de hecho nonse porque no lo hice antes, 10 años de ser cliente y problema tras problema!!!",2020-08-15,07:00:00,n,entrega_tc
20200805,Karen Molina,0,"citibanamex ya me comunique mil veces, por trlefono, por correo en donde esta mi tarjeta ponen que no tengo ninguna tarjeta pendiente de entrega #banamexpesimoservicio #banamexsiempremal #banamexnoresuelven#banamexcobraanualidadynoentregatarjeta",2020-08-15,07:05:00,n,entrega_tc
20200805,Karen Molina,0,citibanamex #citibanamexpesimoservicio ya me comunique por todos los medios y diferentes respuestas ademas de las horas que se tardan en contestar. cuantos meses mas tienen que pasar para que me den respuesta? se puede solicitar la devolución de la anualidad y cancelar la tarjeta??,2020-08-15,07:19:00,n,entrega_tc
20200805,Pablo Cruz Lizárraga,0,"estoy en la misma la situación, no he podido programar la entrega de mi tarjeta ya hable como 50 veces (sin exagerar), ya pregunte en sucursal varias veces, intente por bancanet, y en donde esta mi tarjeta y ningún medio funciona, es una pena la atención si es que a eso se le pude llamar atención que brinda citibanamex",2020-08-17,13:45:00,n,entrega_tc
20200805,Karen Molina,0,citibanamex se puede devolver la anualidad y cancelo la tarjeta que no pueso usar porque no me han entregado?,2020-08-17,14:19:00,n,entrega_tc
20200805,Karen Molina,0,"citibanamex ya me comunique mil veces!!! nadie soluciona, dejen de responser lo mismo que quedan peor #banamexelpeorservicio",2020-08-17,14:27:00,n,carrousel
20200805,Karen Molina,0,citibanamex se puede devolver la anualidad para cancelar?,2020-08-17,14:31:00,n,cancelacion
20200805,Karen Molina,0,citibanamex la pregunta es si me regresan la anualidad que acabo de pagar por un servicio que no me estan dando. puede rrsponder una presona?? #citybanamexcadavezpeor#citybanamexmalservicio,2020-08-17,14:54:00,n,cancelacion
20200805,Pauli LF,0,"necesito cancelar una tarjeta de crédito que está en ceros. asesores dicen que no pueden ayudarme porque cobranza la tiene bloqueada. cobranza dice que no puede hacer nada porque no hice convenio de deudores extremos. pagué para dejar en ceros y en lugar de ayudar, te hacen pasar mil corajes. mi tarjeta está en ceros en este momento, quiero cancelar ahora que no debo ni un céntimo. necesito cancelar y nadie es capaz de ayudar. ",2020-08-13,17:57:00,n,cancelacion
